원단구분,용도,혼용율,구성원사/번수,밀도,조직,후가공,상품명,단위면적당 무게,두께,경사 스트레치 강도,위사 스트레치 강도,바이어스 스트레치 강도
WOVEN,Outer,,경사: N140D SD DTY+PU40D 위사: N280D SD DTY+PU40D,,PLAIN,PU,HS-S2301P,11.97,0.29,"[['5', '0.66'], ['5.5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.2'], ['10', '0.312'], ['15', '0.54'], ['20', '0.7'], ['30', '1.28'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,"COTTON 61%, NYLON 39%",,,,"PU, BIO, WS",AE-5539 UBO,19.091,0.39,"[['5', '0.84'], ['9', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.45'], ['10', '1.4'], ['12.5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.07'], ['10', '0.15'], ['15', '0.22'], ['20', '0.36'], ['30', '0.75'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,POLYESTER 100%,,,,,ZENI-54S,20.707,0.34,"[['5', '0.75'], ['10', '1.7'], ['12', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '1.46'], ['7', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.056'], ['10', '0.121'], ['15', '0.26'], ['20', '0.5'], ['30', '1.28'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,"RAYON 60%, POLYESTER 36%, POLYURETHANE 4%",,,,,MISTY-CY-0137,23.586,0.44,"[['5', '0.025'], ['10', '0.046'], ['15', '0.069'], ['20', '0.095'], ['30', '0.153'], ['130', '2.023'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.321'], ['10', '1.283'], ['13', '2.053'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.012'], ['10', '0.024'], ['15', '0.04'], ['20', '0.061'], ['30', '0.107'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,,"N140D 2WAY SPAN, 경사: N140D SD DTY+PU40D 위사: N280D SD DTY+PU40D",,PLAIN,WR,HS-1713,22.172,0.46,"[['5', '0.094'], ['10', '0.183'], ['15', '0.282'], ['20', '0.382'], ['30', '0.628'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.08'], ['10', '0.168'], ['15', '0.263'], ['20', '0.412'], ['30', '0.941'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.042'], ['10', '0.083'], ['15', '0.134'], ['20', '0.189'], ['30', '0.326'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,"POLYESTER 62%, COTTON 35%, POLYURETHANE 3%",,,,"PD, WR, MEMORY, STRETCH",AG-3301,24.091,0.43,"[['5', '0.236'], ['10', '0.451'], ['15', '0.661'], ['20', '0.92'], ['30', '1.74'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.79'], ['10', '2.03'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.073'], ['10', '0.14'], ['15', '0.256'], ['20', '0.4'], ['30', '0.85'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,NYLON 100%,,,,"PD, WR, AW/NATURAL/GARMENT-WASHED EFFECTIVE COTTON-LIKE HAND FEEL",COTTY-AJ-0157FA,25.354,0.54,"[['5', '0.412'], ['10', '1.347'], ['14', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.91'], ['9', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.123'], ['10', '0.347'], ['15', '0.67'], ['20', '1.06'], ['30', '2.05'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,NYLON 100%,,,,,#9110 UTD,25.505,0.44,"[['5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['3', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.225'], ['10', '0.53'], ['15', '0.9'], ['20', '1.2'], ['27', '2.05'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Outer,"ACETATE 74%, NYLON 23%, POLYURETHANE 3%",,,,,D0766,22.929,0.47,"[['5', '0.027'], ['10', '0.06'], ['15', '0.088'], ['20', '0.13'], ['30', '0.21'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '2'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.012'], ['10', '0.026'], ['15', '0.047'], ['20', '0.07'], ['30', '0.133'], ['40', '0.193'], ['50', '0.257'], ['0', '0']]"
WOVEN,Outer,"ACETATE 60%, POLYESTER 40%",,,,,TD0029,33.283,0.84,"[['5', '0.042'], ['10', '0.076'], ['15', '0.118'], ['20', '0.159'], ['30', '0.261'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.055'], ['10', '0.1'], ['15', '0.155'], ['20', '0.21'], ['30', '0.36'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.017'], ['10', '0.028'], ['15', '0.043'], ['20', '0.064'], ['30', '0.097'], ['40', '0.146'], ['50', '0.204'], ['0', '0']]"
WOVEN,Top," VISCOSE RAYON 52%, ACETATE 48%",,,,,D0759,26.818,0.66,"[['5', '0.044'], ['10', '0.138'], ['15', '0.303'], ['20', '0.522'], ['30', '1.281'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.132'], ['10', '0.55'], ['15', '13.51'], ['20', '2.052'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.004'], ['10', '0.011'], ['15', '0.023'], ['20', '0.044'], ['30', '0.123'], ['40', '0.266'], ['50', '0.551'], ['0', '0']]"
