원단구분,용도,혼용율,구성원사/번수,밀도,조직,후가공,상품명,단위면적당 무게,두께,경사 스트레치 강도,위사 스트레치 강도,바이어스 스트레치 강도
WOVEN,Outer,"NYLON 92%, POLYURETHANE 8%",,,,PD WR,SD13123,23.081,0.6,"[['5', '0.095'], ['10', '0.155'], ['15', '0.233'], ['20', '0.3'], ['30', '0.475'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.105'], ['10', '0.188'], ['15', '0.287'], ['20', '0.386'], ['30', '0.7'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.07'], ['10', '0.101'], ['15', '0.14'], ['20', '0.18'], ['30', '0.266'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"POLYESTER 96%, POLYURETHANE 4%",,,,,TI-7113,11.364,0.53,"[['20', '0.02'], ['40', '0.05'], ['60', '0.08'], ['80', '0.12'], ['100', '0.16'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.03'], ['40', '0.08'], ['60', '0.15'], ['80', '0.27'], ['100', '0.47'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.02'], ['40', '0.05'], ['60', '0.09'], ['80', '0.14'], ['100', '0.22'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"RAYON 46%, COTTON 20%, POLYESTER 28%, POLYURETHANE 6%",,,,,AS-505,14.949,0.46,"[['20', '0.03'], ['40', '0.06'], ['60', '0.09'], ['80', '0.12'], ['100', '0.15'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.05'], ['40', '0.12'], ['60', '0.2'], ['80', '0.32'], ['100', '0.5'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.03'], ['40', '0.08'], ['60', '0.13'], ['80', '0.19'], ['100', '0.27'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,,,,,,AQX70/68 SP20,16.162,0.46,"[['20', '0.08'], ['40', '0.18'], ['60', '0.29'], ['80', '0.42'], ['100', '0.56'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.03'], ['40', '0.07'], ['60', '0.12'], ['80', '0.19'], ['100', '0.28'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.04'], ['40', '0.09'], ['60', '0.15'], ['80', '0.24'], ['100', '0.37'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,,,,,,75/72 SP20,15.202,0.5,"[['20', '0.03'], ['40', '0.06'], ['60', '0.1'], ['80', '0.14'], ['100', '0.19'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.03'], ['40', '0.07'], ['60', '0.11'], ['80', '0.17'], ['100', '0.24'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.02'], ['40', '0.04'], ['60', '0.08'], ['80', '0.12'], ['100', '0.17'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"NYLON 80%, POLYURETHANE 20%",,,,,FD-4128,20.455,0.55,"[['20', '0.08'], ['40', '0.17'], ['60', '0.28'], ['80', '0.4'], ['100', '0.54'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.14'], ['40', '0.26'], ['60', '0.35'], ['80', '0.44'], ['100', '0.54'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.07'], ['40', '0.15'], ['60', '0.23'], ['80', '0.34'], ['100', '0.45'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"POLYESTER 95%, POLYURETHANE 5%",,,,,TN128,20.505,0.56,"[['20', '0.04'], ['40', '0.09'], ['60', '0.14'], ['80', '0.18'], ['100', '0.22'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.09'], ['40', '0.22'], ['60', '0.39'], ['80', '0.66'], ['100', '1.29'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.04'], ['40', '0.09'], ['60', '0.14'], ['80', '0.21'], ['100', '0.32'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"POLYESTER 82%, POLYURETHANE 18%",,,,,AK-2133 (L),22.222,0.54,"[['20', '0.06'], ['40', '0.13'], ['60', '0.23'], ['80', '0.33'], ['100', '0.48'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.05'], ['40', '0.11'], ['60', '0.17'], ['80', '0.24'], ['100', '0.3'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.05'], ['40', '0.11'], ['60', '0.17'], ['80', '0.24'], ['100', '0.34'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"POLYESTER 74%, POLYURETHANE 26%",,,,,DT-2135,23.586,0.61,"[['20', '0.07'], ['40', '0.14'], ['60', '0.22'], ['80', '0.3'], ['100', '0.41'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.11'], ['40', '0.22'], ['60', '0.32'], ['80', '0.42'], ['100', '0.53'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.08'], ['40', '0.15'], ['60', '0.22'], ['80', '0.31'], ['100', '0.4'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"POLYESTER 95%, POLYURETHANE 5%",,,,,TN513,25.606,0.68,"[['20', '0.02'], ['40', '0.04'], ['60', '0.07'], ['80', '0.09'], ['100', '0.12'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.06'], ['40', '0.13'], ['60', '0.23'], ['80', '0.37'], ['100', '0.61'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.03'], ['40', '0.07'], ['60', '0.11'], ['80', '0.15'], ['100', '0.2'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Outer,"NYLON6 77%, POLYURETHANE 23%",,,,,15033A,27.374,0.64,"[['20', '0.09'], ['40', '0.16'], ['60', '0.23'], ['80', '0.29'], ['100', '0.38'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.08'], ['40', '0.13'], ['60', '0.18'], ['80', '0.24'], ['100', '0.31'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.07'], ['40', '0.12'], ['60', '0.17'], ['80', '0.22'], ['100', '0.29'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"POLYESTER 95%, POLYURETHANE 5%",,,,,TN246-2,30.404,0.77,"[['20', '0.01'], ['40', '0.02'], ['60', '0.03'], ['80', '0.04'], ['100', '0.06'], ['120', '0.09'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.01'], ['40', '0.02'], ['60', '0.07'], ['80', '0.15'], ['100', '0.29'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.01'], ['40', '0.02'], ['60', '0.04'], ['80', '0.07'], ['100', '0.12'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Outer,"NYLON 85%, POLYURETHANE 15%",,,,,NY ATY SP70,32.576,0.8,"[['20', '0.06'], ['40', '0.12'], ['60', '0.17'], ['80', '0.23'], ['100', '0.28'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.06'], ['40', '0.11'], ['60', '0.15'], ['80', '0.21'], ['100', '0.28'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.05'], ['40', '0.09'], ['60', '0.14'], ['80', '0.19'], ['100', '0.25'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"POLYESTER 90%, POLYURETHANE 10%",,,,,TN239-4,29.343,0.63,"[['20', '0.04'], ['40', '0.09'], ['60', '0.15'], ['80', '0.21'], ['100', '0.28'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.05'], ['40', '0.12'], ['60', '0.21'], ['80', '0.33'], ['100', '0.51'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.04'], ['40', '0.09'], ['60', '0.16'], ['80', '0.26'], ['100', '0.39'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"POLYESTER 85%, POLYURETHANE 15%",,,,,14123A,31.061,0.78,"[['20', '0.04'], ['40', '0.08'], ['60', '0.11'], ['80', '0.15'], ['100', '0.19'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.04'], ['40', '0.07'], ['60', '0.11'], ['80', '0.15'], ['100', '0.19'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.03'], ['40', '0.06'], ['60', '0.09'], ['80', '0.13'], ['100', '0.17'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"POLYESTER 89%, POLYURETHANE 11%",,,,,SP-8075P,14.394,0.51,"[['20', '0.02'], ['40', '0.04'], ['60', '0.07'], ['80', '0.1'], ['100', '0.13'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.02'], ['40', '0.04'], ['60', '0.07'], ['80', '0.1'], ['100', '0.14'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.02'], ['40', '0.03'], ['60', '0.05'], ['80', '0.08'], ['100', '0.11'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"POLYESTER 92%, POLYURETHANE 8%",,,,,SP-7193P,17.626,0.57,"[['20', '0.04'], ['40', '0.09'], ['60', '0.15'], ['80', '0.21'], ['100', '0.29'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.03'], ['40', '0.07'], ['60', '0.13'], ['80', '0.23'], ['100', '0.36'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.04'], ['40', '0.09'], ['60', '0.16'], ['80', '0.24'], ['100', '0.37'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active," POLYESTER 62%, NYLON 25%, POLYURETHANE 13%",,,,,SPH-180NP,9.949,0.36,"[['20', '0.01'], ['40', '0.02'], ['60', '0.04'], ['80', '0.05'], ['100', '0.07'], ['120', '0.09'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.02'], ['40', '0.04'], ['60', '0.08'], ['80', '0.12'], ['100', '0.2'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.01'], ['40', '0.01'], ['60', '0.03'], ['80', '0.05'], ['100', '0.08'], ['120', '0.115'], ['0', '0'], ['0', '0']]"
KNIT,Active,"POLYESTER 89%, POLYURETHANE 11%",,,,,SPH-330P,14.495,0.39,"[['20', '0.03'], ['40', '0.07'], ['60', '0.11'], ['80', '0.16'], ['100', '0.21'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.03'], ['40', '0.08'], ['60', '0.15'], ['80', '0.25'], ['100', '0.41'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.02'], ['40', '0.05'], ['60', '0.09'], ['80', '0.13'], ['100', '0.21'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"POLYESTER 95%, POLYURETHANE 5%",,,,,SJD-427P,22.222,0.73,"[['20', '0.03'], ['40', '0.05'], ['60', '0.08'], ['80', '0.1'], ['100', '0.13'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.03'], ['40', '0.06'], ['60', '0.09'], ['80', '0.13'], ['100', '0.19'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.02'], ['40', '0.04'], ['60', '0.07'], ['80', '0.09'], ['100', '0.13'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"POLYESTER 91%, POLYURETHANE 9%",,,,,SJQ-1203P-F,13.99,0.57,"[['20', '0.02'], ['40', '0.03'], ['60', '0.05'], ['80', '0.06'], ['100', '0.08'], ['120', '0.09'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.04'], ['40', '0.09'], ['60', '0.15'], ['80', '0.23'], ['100', '0.34'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.02'], ['40', '0.03'], ['60', '0.06'], ['80', '0.08'], ['100', '0.11'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"MODAL 50%, COTTON 40%, POLYURETHANE 10%",,,,,TEX-6709,18.081,0.66,"[['20', '0.02'], ['40', '0.04'], ['60', '0.07'], ['80', '0.1'], ['100', '0.13'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.02'], ['40', '0.05'], ['60', '0.09'], ['80', '0.13'], ['100', '0.18'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.02'], ['40', '0.04'], ['60', '0.07'], ['80', '0.11'], ['100', '0.15'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"POLYESTER 53%, NYLON 35%, POLYURETHANE 12%",,,,,OP-4036NP,16.263,0.47,"[['20', '0.02'], ['40', '0.03'], ['60', '0.05'], ['80', '0.07'], ['100', '0.09'], ['120', '0.12'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.03'], ['40', '0.07'], ['60', '0.12'], ['80', '0.21'], ['100', '0.32'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.03'], ['40', '0.05'], ['60', '0.08'], ['80', '0.1'], ['100', '0.14'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"NYLON 60%, POLYURETHANE 40%",,,,,OP-4017N,16.313,0.44,"[['20', '0.06'], ['40', '0.11'], ['60', '0.16'], ['80', '0.22'], ['100', '0.27'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.07'], ['40', '0.13'], ['60', '0.19'], ['80', '0.26'], ['100', '0.34'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.06'], ['40', '0.12'], ['60', '0.19'], ['80', '0.25'], ['100', '0.32'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"NYLON 76%, POLYURETHANE 24%",,,,,DNT-4034,16.616,0.4,"[['20', '0.07'], ['40', '0.14'], ['60', '0.21'], ['80', '0.27'], ['100', '0.34'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.11'], ['40', '0.2'], ['60', '0.31'], ['80', '0.43'], ['100', '0.59'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.11'], ['40', '0.2'], ['60', '0.3'], ['80', '0.41'], ['100', '0.54'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"NYLON 71%, POLYURETHANE 29%",,,,,DNNT-6545,20.253,0.43,"[['20', '0.13'], ['40', '0.23'], ['60', '0.34'], ['80', '0.46'], ['100', '0.58'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.13'], ['40', '0.34'], ['60', '0.34'], ['80', '0.44'], ['100', '0.54'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.14'], ['40', '0.24'], ['60', '0.36'], ['80', '0.47'], ['100', '0.59'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"MODAL 97%, POLYURETHANE 3%",,,,,TEX-7067,25.404,0.81,"[['20', '0.1'], ['40', '0.02'], ['60', '0.04'], ['80', '0.05'], ['100', '0.08'], ['120', '0.11'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.01'], ['40', '0.02'], ['60', '0.04'], ['80', '0.06'], ['100', '0.09'], ['120', '0.14'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.01'], ['40', '0.02'], ['60', '0.03'], ['80', '0.05'], ['100', '0.08'], ['120', '0.118'], ['0', '0'], ['0', '0']]"
KNIT,Active,"NYLON 80%, POLYURETHANE 20%",,,,WET PRINT,KIRA-110,20.455,0.59,"[['20', '0.07'], ['40', '0.13'], ['60', '0.18'], ['80', '0.25'], ['100', '0.32'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.09'], ['40', '0.16'], ['60', '0.24'], ['80', '0.3'], ['100', '0.38'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.07'], ['40', '0.12'], ['60', '0.19'], ['80', '0.25'], ['100', '0.32'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"NYLON 61%, POLYURETHANE 39%",,,,WET PRINT,12F115,24.747,0.67,"[['20', '0.05'], ['40', '0.11'], ['60', '0.17'], ['80', '0.24'], ['100', '0.33'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.1'], ['40', '0.2'], ['60', '0.28'], ['80', '0.36'], ['100', '0.45'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.08'], ['40', '0.16'], ['60', '0.25'], ['80', '0.33'], ['100', '0.44'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"NYLON 81%, POLYURETHANE 19%",,,,WET PRINT,12F179A,19.798,0.65,"[['20', '0.05'], ['40', '0.11'], ['60', '0.17'], ['80', '0.23'], ['100', '0.31'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.08'], ['40', '0.15'], ['60', '0.22'], ['80', '0.28'], ['100', '0.35'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.05'], ['40', '0.1'], ['60', '0.15'], ['80', '0.21'], ['100', '0.27'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"POLYESTER 89%, POLYURETHANE 11%",,,,,SP-8075P,13.99,0.5,"[['20', '0.02'], ['40', '0.04'], ['60', '0.07'], ['80', '0.1'], ['100', '0.12'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.02'], ['40', '0.04'], ['60', '0.07'], ['80', '0.1'], ['100', '0.14'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.02'], ['40', '0.04'], ['60', '0.06'], ['80', '0.08'], ['100', '0.12'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"POLYESTER 91%, POLYURETHANE 9%",,,,,SP-7157P,21.111,0.67,"[['20', '0.04'], ['40', '0.07'], ['60', '0.11'], ['80', '0.14'], ['100', '0.18'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.03'], ['40', '0.06'], ['60', '0.09'], ['80', '0.12'], ['100', '0.15'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.03'], ['40', '0.05'], ['60', '0.07'], ['80', '0.1'], ['100', '0.12'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,,,,,,CDP75D SP40,15.455,0.54,"[['20', '0.03'], ['40', '0.08'], ['60', '0.13'], ['80', '0.19'], ['100', '0.25'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.05'], ['40', '0.16'], ['60', '0.33'], ['80', '0.72'], ['100', '1.24'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.04'], ['40', '0.1'], ['60', '0.18'], ['80', '0.31'], ['100', '0.5'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Outer,"POLYESTER 52%, PTT 48%",,,,,SMKW-5084-105,22.071,0.66,"[['20', '0.12'], ['40', '0.27'], ['60', '0.42'], ['80', '0.56'], ['100', '0.7'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.12'], ['40', '0.28'], ['60', '0.54'], ['80', '0.88'], ['100', '1.42'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.14'], ['40', '0.33'], ['60', '0.57'], ['80', '0.87'], ['100', '1.28'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Active,"NYLON 75%, POLYURETHANE 25%",,,,,DNT-6645,16.919,0.41,"[['20', '0.17'], ['40', '0.32'], ['60', '0.5'], ['80', '0.68'], ['100', '0.92'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.08'], ['40', '0.14'], ['60', '0.2'], ['80', '0.27'], ['100', '0.34'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.15'], ['40', '0.26'], ['60', '0.38'], ['80', '0.51'], ['100', '0.66'], ['0', '0'], ['0', '0'], ['0', '0']]"
KNIT,Outer,"POLYESTER 52%, PTT 48%",,,,,SMKW-5084-108,21.465,0.53,"[['20', '0.1'], ['40', '0.22'], ['60', '0.33'], ['80', '0.43'], ['100', '0.51'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.1'], ['40', '0.22'], ['60', '0.37'], ['80', '0.57'], ['100', '0.84'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.09'], ['40', '0.19'], ['60', '0.31'], ['80', '0.48'], ['100', '0.58'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Top,,,,,,,6.667,0.24,"[['5', '0.095'], ['10', '0.305'], ['15', '0.652'], ['20', '1.23'], ['25', '1.81'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.117'], ['10', '0.901'], ['15', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.002'], ['10', '0.005'], ['15', '0.015'], ['20', '0.029'], ['30', '0.093'], ['40', '0.209'], ['50', '0.4'], ['0', '0']]"
WOVEN,Top,"COTTON 70%, POLYESTER 30%",,,,,SI-4651/T,10.505,0.26,"[['5', '0.034'], ['10', '0.062'], ['15', '0.093'], ['20', '0.13'], ['30', '0.22'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '1.62'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.02'], ['10', '0.033'], ['15', '0.048'], ['20', '0.065'], ['30', '0.113'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Top,COTTON 100%,C50'S,123*93,,,SFT-WLL-010-009,9.697,0.34,"[['5', '0.073'], ['10', '0.175'], ['15', '0.353'], ['20', '0.6'], ['30', '1.45'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.27'], ['10', '1.4'], ['12.5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.006'], ['10', '0.01'], ['15', '0.023'], ['20', '0.038'], ['30', '0.08'], ['40', '0.15'], ['50', '0.27'], ['0', '0']]"
WOVEN,Top,"MODAL 72%, POLYESTER 28%",,,,,V4062-1,10.96,0.29,"[['5', '0.544'], ['10', '1.92'], ['11', '2.051'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.126'], ['10', '0.456'], ['15', '11.23'], ['20', '1.9'], ['21', '2.054'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.003'], ['10', '0.01'], ['15', '0.033'], ['20', '0.07'], ['30', '0.246'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Top,COTTON 100%,,,,DYED,오가닉 60수 솔리드,6.919,0.24,"[['5', '0.126'], ['10', '0.293'], ['15', '0.523'], ['20', '0.855'], ['30', '1.804'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['3', '2.054'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.018'], ['10', '0.035'], ['15', '0.063'], ['20', '0.108'], ['30', '0.25'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Top,COTTON 100%,C60'S,140*140,,,SFT-WKG-009-008,10.253,0.22,"[['5', '0.232'], ['10', '0.49'], ['15', '0.854'], ['20', '1.341'], ['25', '1.96'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.387'], ['10', '1.003'], ['15', '19.32'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.034'], ['10', '0.079'], ['15', '0.141'], ['20', '0.25'], ['30', '0.525'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Top,POLYESTER 100%,,,,,JWPS226,8.384,0.26,"[['5', '1.1'], ['8', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.31'], ['10', '1.34'], ['18', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.052'], ['30', '0.168'], ['40', '0.58'], ['50', '1.42'], ['55', '2.05'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Top,POLYESTER 100%,,,,,BPTS-PE14184P,11.162,0.35,"[['5', '0.176'], ['10', '0.686'], ['15', '1.95'], ['15.5', '20.5'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '2.05'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['20', '0.007'], ['30', '0.021'], ['40', '0.065'], ['50', '0.33'], ['60', '0.43'], ['0', '0'], ['0', '0'], ['0', '0']]"
WOVEN,Top,"COTTON 85%, LINEN 15%",21L/C*40'S,68*66,,,SFT-WLL-015-003,11.717,0.33,"[['5', '0.09'], ['10', '0.226'], ['15', '0.45'], ['20', '0.78'], ['25', '1.3'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.34'], ['10', '1.27'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0'], ['0', '0']]","[['5', '0.02'], ['10', '0.047'], ['15', '0.088'], ['20', '0.14'], ['30', '0.3'], ['0', '0'], ['0', '0'], ['0', '0']]"
