원단구분,용도,혼용율,구성원사/번수,밀도,조직,후가공,상품명,단위면적당 무게,두께
KNIT,Outer,"COTTON 75%, POLYESTER 25%",,,,,CP-177060R-3,27.273,1.06
KNIT,Outer,"COTTON 82%, POLYURETHANE 18%",,,,ENAMEL CRUSHED,GAIN-1565,32.828,1.23
KNIT,Outer,"POLYESTER 94%, POLYURETHANE 6%",,,,,16050C,30.758,0.88
KNIT,Outer,COTTON 100%,,,,,BACK TWIST F/TERRY,37.424,1.57
KNIT,Outer,"POLYESTER 95%, POLYURETHANE 5%",,,,"RAISING, SHEARING",MF-FD288,29.192,1.29
KNIT,Outer,"NYLON 78%, POLYURETHANE 22%",,,,,SP-M027A BRUSHED,29.697,0.91
KNIT,Outer,POLYESTER 100%,,,,,STNT18(SJ-60232),10,0.35
KNIT,Outer,POLYESTER 100%,,,,FOIL PRINTED,FPR-1118,23.434,0.58
KNIT,Outer,POLYESTER 100%,,,,"W/PU COATED(BRUSHED BACK), WRAP KNIT DAZZLE",#180967,26.717,0.77
KNIT,Outer,"POLYURETHANE 54%, POLYESTER 46%",,,,,REO2 910#BK99+P,22.02,0.55
KNIT,Outer,"POLYURETHANE 53%, POLYESTER 47%",,,,,REO287#NV01,26.616,0.66
KNIT,Outer,"POLYESTER 52%, POLYURETHANE 48%",,,,,RSE729#BK99,28.687,0.67
KNIT,Outer,"POLYESTER 80%, POLYURETHANE 20%, ",,,,,DRS28(B) 618#PP01+W,26.313,0.69
KNIT,Outer,POLYESTER 100%,,,,,KCF-1127,26.616,1.49
KNIT,Outer,"COTTON, POLY, POLYURETHANE",,,,,SHSF-017,29.495,1.1
KNIT,Outer,"POLY, POLYURETHANE",,,,,SHSF-014,27.677,0.86
KNIT,Outer,"POLYESTER 96%, POLYURETHANE 4%",,,,,KCF-2067 ST,31.717,1.55
KNIT,Outer,"POLYESTER 95%, POLYURETHANE 5%",,,,,KCF-16-008,29.444,1.1
KNIT,Outer,,,,,,,16.768,1.06
KNIT,Outer,"POLYESTER 94%, POLYURETHANE 6%",,,,,KCF-16-123,23.99,1.31
WOVEN,Active,NYLON 100%,,,,"PD, WR",SN-115C6AWSC0,3.434,0.07
WOVEN,Active,NYLON 100%,,,,"PD, WR, TPS, A/WS",#1623 TPS A/WS,4.091,0.07
WOVEN,Active,NYLON 100%,,,,"WR, AIRSHELL",#1003 WR,3.384,0.13
WOVEN,Active,NYLON 100%,,,,"PD, WR, HW",#1623 HW,4.949,0.11
WOVEN,Active,"NYLON 82%, POLYURETHANE 18%",,,,"2L(WP5000/MVP5000), AIRSHELL",#1032 C2L,10.101,0.22
WOVEN,Active,"NYLON 82%, POLYURETHANE 18%",,,,"PD, WR, DP, #1829 WIDE VER",#1840 DP,9.343,0.24
WOVEN,Active,"NYLON 82%, POLYURETHANE 18%",N30D 2WAY,,,WR,#1826 WR,10.202,0.27
WOVEN,Active,"NYLON 81%, POLYURETHANE 19%",,333*186,,"PD, WR",#1834,12.374,0.35
WOVEN,Active,"NYLON 88%, POLYURETHANE 12%",,,,"PD, WR",#1711 WR,12.323,0.32
WOVEN,Active,"NYLON 90%, POLYURETHANE 10%",,,DOUBLE,W/R,#1750,12.929,0.38
WOVEN,Outer,"CORDURA 50%, COTTON 50%",,,,"PD, WR",SMV-112,13.939,0.33
WOVEN,Outer,POLYESTER 100%,,,,"PD, WR",MQ36-SH,15.253,0.3
WOVEN,Active,"NYLON 86%, POLYURETHANE 14%",,,,"PD, WR",#1752 PD WR,17.222,0.36
WOVEN,Outer,"COTTON 63%, NYLON 37%",,,,"NATURALMIXTURE, PD, WR",YE223,17.172,0.37
WOVEN,Outer,POLYESTER 100%,,,,"PD, WR",SM-1615,18.03,0.34
WOVEN,Outer,"COTTON 65%, NYLON 35%",,,,"PD, WR, PEACH, PU C/T, A/WS",#YPS-15077,10.253,0.24
WOVEN,Outer,"POLYESTER 93%, KEVLAR 7%",,,,"WR, PU",#7135 PU,29.747,0.49
WOVEN,Active,POLYESTER 100%,,,2LAYER,"PD, WR",H2O-P356R,15.101,0.28
WOVEN,Active,"NYLON 89%, POLYURETHANE 11%",N20D*(N30D+PU20D),,,"PD, WR, COATED, A.WS, COTTON LIKE NYLON WEFT STRETCH",H2O-XN560,11.717,0.28
WOVEN,Top,"POLYESTER 52%, VISCOSE RAYON 48%",,,,,VISTER 2200,6.869,0.12
WOVEN,Top,POLYESTER 100%,,,,,SINNA 202,4.848,0.1
WOVEN,Active,POLYESTER 100%,,,,,JQ 0600,6.414,0.13
WOVEN,Top,POLYESTER 100%,,,,,JQ 9090,9.04,0.2
WOVEN,Top,ACETATE 100%,,,,,JQ 3800 LIGHT,7.273,0.17
WOVEN,Top,"ACETATE 51%, POLYESTER 49%",,,,,ACEP 2700,7.879,0.16
WOVEN,Active,"ACETATE 51%, POLYESTER 49%",,,,,JQ 2600,8.485,0.18
WOVEN,Outer,"NYLON 92%, POLYURETHANE 8%",,,,PD WR,SD13123,23.081,0.6
KNIT,Active,"POLYESTER 96%, POLYURETHANE 4%",,,,,TI-7113,11.364,0.53
